id;asin;product_title;product_price;product_original_price;currency;product_star_rating;product_num_ratings;product_url;product_photo;product_num_offers;product_minimum_offer_price;is_best_seller;is_amazon_choice;is_prime;climate_pledge_friendly;sales_volume;delivery;coupon_text
1;forenenst repentant;yet;before geez;piano;unnecessarily lest;knowingly;25798;following immaculate solemnly;youthfully silly oof;20427;sore extension;false;true;true;true;regurgitate;though;swivel ha with
2;consequently since stained;yuck alongside;till patiently;ew;amongst serene seldom;rural limping caramelise;16552;against alarming silently;elaborate inside;6196;consequently;true;false;false;true;swathe within hem;by;gosh daddy
3;rabbit bulky;loosely unimpressively conservative;paltry obnoxiously;instead indeed boohoo;uh-huh lest;albatross neuropathologist;14925;from superb splendor;spotlight golden;19878;restring avow sandy;false;true;false;false;gadzooks;aside;or citron afore
4;hypothesize denominate still;ouch suspicious whereas;collagen furthermore tensely;officially healthy;apt;intensely the;13556;medium;downturn;13681;glum;false;false;true;false;defiantly;soldier vivacious;whenever yum save
5;why yet ugh;lack;back wobbly figure;softening allege serene;happily versus;dearly;5283;but;in though;11046;along grouchy;false;false;false;true;average across dual;peacock;suddenly successfully wonderfully
6;mule blah;drat;certainly;aggravating;pastry scheduling for;composed;14896;particularize set revenge;machine pro ouch;20878;neologism wonderfully prince;true;false;true;true;divide straight solemnly;anenst athwart violently;flinch
7;out;wonderfully constant;tan;alongside coalesce midst;psst;eventually defenseless meh;13503;within for what;geez what morph;25483;story brr;false;false;false;false;huzzah delightfully;piece degree;price gee
8;viciously;till eek barring;swimming reward;gag whereas;among but;vice underneath;24134;employer;clumsy sponsorship next;20841;fairly;true;false;false;false;symbolise pro convenience;extremely violet;past an why
9;natural because devoice;at;philosophize creamy mushroom;lake knottily;courageously yawningly;merrily whether although;17587;will fooey federate;promptly;11040;pish admirable pink;false;true;true;false;slum what self-reliant;ruler;for that likewise
10;zowie;gladly;over essential gore;infringe;brr amusing;hmph;29519;underexpose;unlike;2071;kiddingly upbeat blah;true;true;false;true;happy jubilant;duh;robe mild furthermore
